geo_point_2d;geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;insee_com;nom_com;date_modif;notes
48.98974169905272,2.1643589;"{""coordinates"": [2.1643589, 48.98974169905272], ""type"": ""Point""}";n6362105229;NON;4;;public;NON;NON;arceaux;95306;Herblay;2021-11;
48.70626659905083,2.4565429999999995;"{""coordinates"": [2.456543, 48.70626659905083], ""type"": ""Point""}";n6873345474;NON;4;;public;NON;NON;arceaux;91421;Montgeron;2019-10;
48.8668661990519,2.349199599999999;"{""coordinates"": [2.3491996, 48.8668661990519], ""type"": ""Point""}";n5625211978;NON;6;;public;NON;NON;arceaux;75102;2e Arrondissement;2019-08;
48.870213599051915,2.3498704999999998;"{""coordinates"": [2.3498705, 48.870213599051915], ""type"": ""Point""}";n5625211986;NON;6;;public;NON;NON;inconnu;75102;2e Arrondissement;2018-05;
48.82094139905158,2.246779899999999;"{""coordinates"": [2.2467799, 48.82094139905158], ""type"": ""Point""}";n8852408929;NON;12;;public;NON;NON;arceaux;92040;Issy-les-Moulineaux;2021-06;
48.80259034905146,1.8151798;"{""coordinates"": [1.8151798, 48.80259034905146], ""type"": ""Point""}";w271292573;OUI;40;Véligo;clientele;OUI;NON;arceaux;78389;Méré;2019-03;
48.87007189905195,2.4200976999999995;"{""coordinates"": [2.4200977, 48.87007189905195], ""type"": ""Point""}";n9322275503;NON;6;;public;NON;NON;arceaux;93006;Bagnolet;2021-12;
48.81563249905153,2.353111899999999;"{""coordinates"": [2.3531119, 48.81563249905153], ""type"": ""Point""}";n6424337208;NON;4;;public;NON;NON;arceaux;94037;Gentilly;2019-04;
48.86218139905187,2.2802698;"{""coordinates"": [2.2802698, 48.86218139905187], ""type"": ""Point""}";n5615336482;NON;4;;public;NON;NON;inconnu;75116;16e Arrondissement;2018-05;
48.87602529905194,2.4124729000000005;"{""coordinates"": [2.4124729, 48.87602529905194], ""type"": ""Point""}";n5630745378;NON;16;;public;NON;NON;arceaux;75120;20e Arrondissement;2020-01;
48.897873999052095,2.3347834999999986;"{""coordinates"": [2.3347835, 48.897873999052095], ""type"": ""Point""}";n6524767783;NON;20;;public;NON;NON;arceaux;75118;18e Arrondissement;2019-06;
48.88401399905201,2.3679973999999993;"{""coordinates"": [2.3679974, 48.88401399905201], ""type"": ""Point""}";n2399152559;NON;40;;public;NON;NON;arceaux;75110;10e Arrondissement;2020-02;
48.925601399052276,2.1710921999999995;"{""coordinates"": [2.1710922, 48.925601399052276], ""type"": ""Point""}";n8825288757;NON;48;;clientele;NON;NON;arceaux;78311;Houilles;2021-06;
48.81692289905155,2.3116831999999996;"{""coordinates"": [2.3116832, 48.81692289905155], ""type"": ""Point""}";n5028869327;NON;2;;public;NON;NON;arceaux;92049;Montrouge;2020-02;
48.73483979905102,2.2893461999999998;"{""coordinates"": [2.2893462, 48.73483979905102], ""type"": ""Point""}";n2326422062;NON;2;Accroch' Vélo;public;NON;NON;arceaux;91377;Massy;2013-05;
48.834728299051676,2.3935169999999992;"{""coordinates"": [2.393517, 48.834728299051676], ""type"": ""Point""}";n2177689578;NON;6;;public;NON;NON;arceaux;75112;12e Arrondissement;2021-09;
48.831755799051656,2.3580479;"{""coordinates"": [2.3580479, 48.831755799051656], ""type"": ""Point""}";n3104980729;NON;10;;public;NON;NON;arceaux;75113;13e Arrondissement;2020-01;
48.702943099050806,2.177636899999999;"{""coordinates"": [2.1776369, 48.702943099050806], ""type"": ""Point""}";n811502208;OUI;14;;public;NON;NON;arceaux;91471;Orsay;2018-01;
48.84677779905176,2.3725344999999987;"{""coordinates"": [2.3725345, 48.84677779905176], ""type"": ""Point""}";n535927981;NON;20;;public;NON;NON;arceaux;75112;12e Arrondissement;2020-07;
48.81538239905157,2.313223399999999;"{""coordinates"": [2.3132234, 48.81538239905157], ""type"": ""Point""}";n2482614584;NON;2;;public;NON;NON;arceaux;92049;Montrouge;2019-07;
48.85040799905178,2.3189610000000007;"{""coordinates"": [2.318961, 48.85040799905178], ""type"": ""Point""}";n5615712500;NON;4;;public;NON;NON;inconnu;75107;7e Arrondissement;2018-05;
48.859981299051846,2.3497684;"{""coordinates"": [2.3497684, 48.859981299051846], ""type"": ""Point""}";n2003145872;NON;12;;public;NON;NON;arceaux;75104;4e Arrondissement;2021-05;
48.82409909905161,2.2904999999999993;"{""coordinates"": [2.2905, 48.82409909905161], ""type"": ""Point""}";n5503887540;NON;4;;public;NON;NON;arceaux;92075;Vanves;2020-11;
48.858154999051834,2.3882304999999997;"{""coordinates"": [2.3882305, 48.858154999051834], ""type"": ""Point""}";n5686037507;NON;6;;public;NON;NON;arceaux;75111;11e Arrondissement;2018-06;
48.84503149905176,2.3542643999999995;"{""coordinates"": [2.3542644, 48.84503149905176], ""type"": ""Point""}";n5628655333;NON;4;;public;NON;NON;inconnu;75105;5e Arrondissement;2021-03;
48.854534099051804,2.4321271999999983;"{""coordinates"": [2.4321272, 48.854534099051804], ""type"": ""Point""}";n7649674359;NON;18;;public;NON;NON;arceaux;93048;Montreuil;2021-01;
