Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
8103;Artois - Berri;OUI;23;20;3;2;1;OUI;OUI;2022-03-05T14:41:54+01:00;48.87393521240818,2.3064258322119713;Paris;
13030;Italie - Tolbiac;OUI;21;20;0;0;0;OUI;OUI;2022-03-05T14:42:23+01:00;48.82557229464416,2.3576171323657036;Paris;
8048;Marceau - Chaillot;OUI;21;18;3;0;3;OUI;OUI;2022-03-05T14:33:19+01:00;48.86883394989261,2.2989967837929726;Paris;
2017;Caire - Dussoubs;OUI;40;10;29;23;6;OUI;OUI;2022-03-05T14:41:37+01:00;48.86785342111862,2.349364310503006;Paris;
7011;Las Cases - Bourgogne;OUI;22;5;17;12;5;OUI;OUI;2022-03-05T14:42:54+01:00;48.85909110474066,2.3185685276985173;Paris;
14013;Liard - Amiral Mouchez;OUI;14;14;0;0;0;OUI;OUI;2022-03-05T14:41:11+01:00;48.8214169,2.342167;Paris;
18111;Félix Ziem - Armand Gauthier;OUI;25;22;2;1;1;OUI;OUI;2022-03-05T14:38:14+01:00;48.88949630486821,2.333393658804396;Paris;
12031;Gabriel Lamé;OUI;36;3;33;33;0;OUI;OUI;2022-03-05T14:42:43+01:00;48.8351212784276,2.385534569621086;Paris;
16110;Octave Feuillet - Albéric Magnard;OUI;21;19;1;1;0;OUI;OUI;2022-03-05T14:41:50+01:00;48.86106902949534,2.2730283066630363;Paris;
48003;Youri Gagarine - Karl Marx;OUI;22;21;1;1;0;OUI;OUI;2022-03-05T14:40:14+01:00;48.78448485079149,2.35908430069685;Villejuif;
14002;Edgar Quinet - Raspail;OUI;46;42;4;0;4;OUI;OUI;2022-03-05T14:37:01+01:00;48.83940266673835,2.32971478253603;Paris;
18134;Ney - Porte de Clignancourt;OUI;25;19;4;2;2;OUI;OUI;2022-03-05T14:43:12+01:00;48.8978867,2.3458001;Paris;
8053;Place Georges Guillaumin;OUI;29;28;0;0;0;OUI;OUI;2022-03-05T14:41:51+01:00;48.874750203956566,2.301771435325988;Paris;
9014;Faubourg Montmartre - La Fayette;OUI;35;22;12;10;2;OUI;OUI;2022-03-05T14:43:12+01:00;48.87525454905335,2.340853661298752;Paris;
9001;Bellefond - Poissonnière;OUI;17;16;1;0;1;OUI;OUI;2022-03-05T14:39:54+01:00;48.87759897050706,2.348463758826256;Paris;
43009;Place Jean-Spire-Lemaître;OUI;50;46;4;2;2;OUI;OUI;2022-03-05T14:40:46+01:00;48.8468428626593,2.452062070369721;Vincennes;
17032;Jean Oestreicher - Porte de Champerret;OUI;21;21;0;0;0;OUI;OUI;2022-03-05T14:42:38+01:00;48.88655580065981,2.288640439510346;Paris;
8016;Square Louis XVI;OUI;29;17;9;6;3;OUI;OUI;2022-03-05T14:42:54+01:00;48.87320440102894,2.323658830743138;Paris;
10115;Granges aux Belles;OUI;27;20;5;3;2;OUI;OUI;2022-03-05T14:40:00+01:00;48.8761373390584,2.3680844979417;Paris;
10162;Alexandre Parodi - Quai de Valmy;OUI;24;12;12;8;4;OUI;OUI;2022-03-05T14:43:14+01:00;48.87935941942529,2.366596162319184;Paris;
10029;Dunkerque - Rocroy;OUI;24;23;0;0;0;OUI;OUI;2022-03-05T14:38:04+01:00;48.880726,2.351464;Paris;
5005;Gay Lussac - Saint-Jacques;OUI;24;21;2;0;2;OUI;OUI;2022-03-05T14:43:13+01:00;48.844730256132095,2.341923944866407;Paris;
13118;Regnault - Patay;OUI;63;18;43;42;1;OUI;OUI;2022-03-05T14:39:45+01:00;48.82435782216384,2.377065159380436;Paris;
5022;Boulangers - Cardinal Lemoine;OUI;20;13;6;0;6;OUI;OUI;2022-03-05T14:42:56+01:00;48.8462904,2.3521495;Paris;
10161;Gare de l'Est - Faubourg-Saint-Martin;OUI;32;11;19;6;13;OUI;OUI;2022-03-05T14:43:01+01:00;48.87564264747718,2.3594588041305546;Paris;
1001;Quai de l'Horloge - Pont Neuf;OUI;17;3;12;7;5;OUI;OUI;2022-03-05T14:42:33+01:00;48.857058739111096,2.341798283943937;Paris;
41303;Gare de Nogent-le-Perreux;OUI;32;8;24;17;7;OUI;OUI;2022-03-05T14:42:57+01:00;48.83842553348809,2.493693307042122;Nogent-sur-Marne;
31103;Gare Rosny-Bois-Perrier;OUI;36;17;19;4;15;OUI;OUI;2022-03-05T14:42:33+01:00;48.88115023337061,2.480436824262142;Rosny-sous-Bois;
7018;Ségur - d'Estrées;OUI;19;14;5;5;0;OUI;OUI;2022-03-05T14:42:05+01:00;48.85141997898257,2.3097044974565506;Paris;
31706;Château - République;OUI;26;14;11;2;9;OUI;OUI;2022-03-05T14:42:26+01:00;48.8629238005955,2.415503561496735;Bagnolet;
9002;Abbeville - Faubourg Poissonnière;OUI;14;11;3;1;2;OUI;OUI;2022-03-05T14:37:21+01:00;48.879223,2.349147;Paris;
19015;Thionville - Ourcq;OUI;24;14;9;6;3;OUI;OUI;2022-03-05T14:43:10+01:00;48.88917613743794,2.3833653330802917;Paris;
9106;Boudreau - Auber;OUI;14;1;13;6;7;OUI;OUI;2022-03-05T14:37:16+01:00;48.87219,2.329423;Paris;
17012;Mairie du 17ème;OUI;24;23;1;1;0;OUI;OUI;2022-03-05T14:37:45+01:00;48.88416184871573,2.322079431103719;Paris;
17040;Pereire - Ternes;OUI;48;47;0;0;0;OUI;OUI;2022-03-05T14:38:05+01:00;48.87973954830735,2.288012132048607;Paris;
26003;Argenteuil - Voltaire;OUI;16;3;13;10;3;OUI;OUI;2022-03-05T14:40:02+01:00;48.91864865955558,2.2814112156629562;Asnières-sur-Seine;
9038;Douai - Bruxelles;OUI;27;27;0;0;0;OUI;OUI;2022-03-05T14:42:55+01:00;48.88320784122797,2.3308449949028507;Paris;
17004;Legendre - Clichy;OUI;40;39;1;0;1;OUI;OUI;2022-03-05T14:41:45+01:00;48.88896161855884,2.322528975094376;Paris;
8009;Gare Saint-Lazare - Isly;OUI;27;3;23;15;8;OUI;OUI;2022-03-05T14:41:09+01:00;48.874777677621296,2.326515804784655;Paris;
8036;Lisbonne - Monceau;OUI;33;30;3;0;3;OUI;OUI;2022-03-05T14:35:09+01:00;48.87745567681383,2.309694221419506;Paris;
19105;Ambroise Rendu - Porte Brunet;OUI;17;16;1;0;1;OUI;OUI;2022-03-05T14:42:14+01:00;48.883667,2.395733;Paris;
18107;Chartres - La Charbonnière;OUI;34;32;2;0;2;OUI;OUI;2022-03-05T14:42:41+01:00;48.8847601,2.3534657;Paris;
6001;Institut de France;OUI;17;1;15;5;10;OUI;OUI;2022-03-05T14:41:25+01:00;48.85761567856468,2.335831353037739;Paris;
92007;Pesaro - Préfecture;OUI;22;13;9;4;5;OUI;OUI;2022-03-05T14:40:08+01:00;48.89577046284005,2.223908342421055;Nanterre;
17008;Porte Pouchet-Bessières;OUI;23;18;2;1;1;OUI;OUI;2022-03-05T14:38:47+01:00;48.8978765,2.3230632;Paris;
9022;Rossini - Laffitte;OUI;33;28;3;0;3;OUI;OUI;2022-03-05T14:41:48+01:00;48.87334627510507,2.337980867701675;Paris;
15112;Vigée-Lebrun - Anselme Payen;OUI;24;21;3;0;3;OUI;OUI;2022-03-05T14:42:40+01:00;48.838683941628375,2.3110422492027287;Paris;
10107;Gare du Nord - Hôpital Lariboisière;OUI;49;46;3;1;2;OUI;OUI;2022-03-05T14:42:02+01:00;48.881949,2.352339;Paris;
7025;Octave Gréard - Tour Eiffel;OUI;33;10;22;17;5;OUI;OUI;2022-03-05T14:39:04+01:00;48.856502977695634,2.293178754328878;Paris;
20042;Pyrénées - Emmery;OUI;40;40;0;0;0;OUI;OUI;2022-03-05T14:42:41+01:00;48.872010281270974,2.392039597034455;Paris;
22409;Henri Barbusse - Stalingrad;OUI;16;11;5;1;4;OUI;OUI;2022-03-05T14:40:49+01:00;48.814183748660554,2.2872862592339516;Malakoff;
11027;Saint-Ambroise - Parmentier;OUI;38;33;5;1;4;OUI;OUI;2022-03-05T14:42:17+01:00;48.86214784454763,2.3772348091006275;Paris;
5020;Institut du Monde Arabe - Saint-Germain;OUI;40;1;37;31;6;OUI;OUI;2022-03-05T14:43:08+01:00;48.84906329950134,2.3558086529374123;Paris;
19026;Place de Rhin et Danube;OUI;17;17;0;0;0;OUI;OUI;2022-03-05T14:41:00+01:00;48.88192765861766,2.392586767673493;Paris;
10025;Jemmapes - Ecluses Saint-Martin;OUI;15;1;13;7;6;OUI;OUI;2022-03-05T14:39:46+01:00;48.87748519186726,2.3660067468881607;Paris;
11002;Roquette - Thiéré;OUI;23;3;17;12;5;OUI;OUI;2022-03-05T14:41:30+01:00;48.85507930579506,2.3733686318721463;Paris;
19003;Quai de la Seine;OUI;24;16;5;2;3;OUI;OUI;2022-03-05T14:42:52+01:00;48.884492238407525,2.3703941702842717;Paris;
31009;Place Du Général De Gaulle;OUI;26;26;0;0;0;OUI;OUI;2022-03-05T14:35:13+01:00;48.8687591,2.4329931;Montreuil;
31024_relais;Romainville - Vaillant-couturier;OUI;0;0;0;0;0;OUI;OUI;2022-03-05T14:34:06+01:00;48.868054,2.4470495;Montreuil;
11047;Amelot - Saint-Sébastien;OUI;30;10;20;7;13;OUI;OUI;2022-03-05T14:43:05+01:00;48.86114216276092,2.367799618107727;Paris;
12151;Gare de Lyon - Place Louis Armand;OUI;60;1;58;16;42;OUI;OUI;2022-03-05T14:42:28+01:00;48.8455150897939,2.3726498446286;Paris;
17030;Pereire - Rennequin;OUI;23;17;6;5;1;OUI;OUI;2022-03-05T14:42:37+01:00;48.88364782887555,2.2952447086572647;Paris;
16026;Ranelagh - Mozart;OUI;23;16;5;3;2;OUI;OUI;2022-03-05T14:42:27+01:00;48.8554439,2.2704418;Paris;
8034;Berri - Haussmann;OUI;35;32;2;2;0;OUI;OUI;2022-03-05T14:36:36+01:00;48.874746047357135,2.3082953318953514;Paris;
9028;Moncey - Blanche;OUI;17;10;7;1;6;OUI;OUI;2022-03-05T14:39:44+01:00;48.88006587474148,2.3310810327529907;Paris;
5032;Panthéon - Valette;OUI;39;4;34;0;34;OUI;OUI;2022-03-05T14:42:07+01:00;48.84702057165222,2.3464982619671075;Paris;
17043;Belidor - Gouvion-Saint-Cyr;OUI;39;34;5;2;3;OUI;OUI;2022-03-05T14:37:11+01:00;48.88022154052015,2.2854680567979813;Paris;
43401;Gare RER - Canadiens;OUI;45;34;9;2;7;OUI;OUI;2022-03-05T14:41:23+01:00;48.81995307955795,2.464176752459464;Joinville-le-Pont;
16039;Exelmans - Versailles;OUI;49;41;6;3;3;OUI;OUI;2022-03-05T14:37:48+01:00;48.84097491091973,2.264390252530575;Paris;
19101;Square Simon Bolivar;OUI;24;22;1;1;0;OUI;OUI;2022-03-05T14:34:38+01:00;48.8750898883217,2.3826304078102116;Paris;
11023;Saint-Maur - Roquette;OUI;46;29;15;11;4;OUI;OUI;2022-03-05T14:42:38+01:00;48.858688774062955,2.383553994571467;Paris;
14003;Schoelcher - Raspail;OUI;50;43;7;4;3;OUI;OUI;2022-03-05T14:41:39+01:00;48.83681733526843,2.3312794080411474;Paris;
45003;11 Novembre 1918 - 8 Mai 1945;OUI;36;28;7;0;7;OUI;OUI;2022-03-05T14:42:45+01:00;48.80889533774377,2.5382421165704727;Champigny-sur-Marne;
