Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
44002;Paul Vaillant-Couturier - Gare RER;26;48.80108159069614,2.402097210288048
20009;Docteurs Déjérine - Pte de Montreuil;20;48.85398448133697,2.41208288897222
42305;Vanne - Saussaies;20;48.786404,2.338848
13033;Porte d'Italie;13;48.817161987718954,2.360236309468746
11038;Temple - Charlot;45;48.86570934379584,2.365273725072355
18006;Square Louise Michel;36;48.88468735450907,2.3441386967897415
41205;Maréchal Joffre - Verdun;20;48.85385,2.470307
18041;Rochechouart - Martyrs;20;48.88219377957169,2.3405495658516884
32601;Porte des Lilas - Faidherbe;39;48.87861855668978,2.4120327830314636
92006;Place Nelson Mandela;30;48.897874318180556,2.2182820737361912
20015;Bagnolet - Orteaux;36;48.85708641027236,2.3984125256538396
15006;Cherche-Midi - Hôpital Necker;38;48.84461063309956,2.317914068698883
23102;Hôtel de Ville de Sèvres;32;48.824363561288756,2.2131047397851944
13052;Leredde - Tolbiac;44;48.828876296639876,2.374438270926476
11001;Richard Lenoir - Place de la Bastille;53;48.8538327,2.3697222
13118_Relais;Regnault - Patay;0;48.82430528706676,2.3763057589530945
20008;Pyrénées - Avron;32;48.853246898211985,2.405871044529538
20024;Gambetta - Père Lachaise;29;48.864295696165875,2.398228667282044
41405;Place de l'Europe - Alfortville;24;48.78913702405837,2.4284800887107854
21506;Maurice Payret-Dortail;22;48.87811957063342,2.2233625128865246
13017;Nationale - Vincent Auriol;33;48.83252708397293,2.362354410392119
31001;Lagny - Auguste Blanqui;27;48.84922568052601,2.4218603968620305
41208;Alouettes - Maréchal de Lattre de Tassigny;22;48.85511009293948,2.4930700287222862
42704;Mairie du Kremlin-Bicêtre;25;48.81191981537702,2.3570189997553825
13054;Pau Casals - Neuve Tolbiac;53;48.8311602,2.3774395
15040;Saint-Amand - Labrouste;36;48.834097274832295,2.3087677359581
42018;Amédée Huon - Fort d'Ivry;31;48.805131376899986,2.388489693403244
22603;Place de la Division Leclerc;35;48.793824988636516,2.2731140430551027
2020;Danielle Casanova - Opéra;20;48.867643242297284,2.3333894088864326
20048;Bagnolet - Place Saint-Blaise;28;48.85973,2.40334
42022;Gare RER - Maurice Grandcoing;37;48.813881,2.392429
42303;Place Eustache Deschamps;20;48.793855,2.336637
41605;Général De Gaulle - Vivien;22;48.83607420090204,2.4189166724681854
6025;Assas - Rennes;32;48.8492084999386,2.32851454623001
20014;Charonne - Alexandre Dumas;35;48.85607741505607,2.394869327545166
7010;Constantine - Université;65;48.860680473738334,2.314848195584221
31701;Mairie de Bagnolet;28;48.868421318555306,2.417958788573742
12017;Saint-Mandé - Docteur Arnold Netter;39;48.84462585769668,2.404946386814118
9104;Caumartin - Provence;22;48.874422773426545,2.3284685611724854
13007;Le Brun - Gobelins;48;48.835092787823875,2.353468135133752
6021;Beaux-Arts - Bonaparte;20;48.856451985395786,2.334851883351803
7004;Raspail - Varenne;18;48.85314781654488,2.3263905197381973
44017;Jules Guesde - Pont du Port à l'Anglais;30;48.79628807093802,2.417212128639221
17043;Belidor - Gouvion-Saint-Cyr;39;48.88022154052015,2.2854680567979813
11113;Richard Lenoir - Republique;58;48.8667175,2.3692541
19044;Grands Moulins de Pantin;50;48.89738369720229,2.3959985375404362
15104;Hôpital Européen Georges Pompidou;64;48.83769531916335,2.275374233722687
18046;Etienne Jodelle - Saint Ouen;33;48.88794016394694,2.326124420314341
21005;Hôtel de Ville de Boulogne Billancourt;26;48.83495885166784,2.2416803240776066
15133;Saint Lambert - Blomet;27;48.83659148147257,2.2930556908249855
21015;Nationale - Place Jules Guesde;23;48.82753962462998,2.2416052222251897
15034;Lakanal - Commerce;53;48.84442462786544,2.294059172272682
18009;Jean-François Lépine - Stephenson;22;48.88611466796807,2.356855627529275
32302;Chemin Vert - Fraternité;20;48.877141208359035,2.4461565166711807
9032;Mathurins - Auber;36;48.872988840743595,2.3294984212276404
20111;Villiers de l'Isle Adam - Pyrénées;20;48.867362,2.396222
43003;Hôpital Bégin;26;48.84571672113014,2.4272462725639348
32303;Gaston Roussel - Commune de Paris;30;48.89432034553156,2.432552274419542
21313;Guynemer - Séverine;26;48.83091743371036,2.2790706530213356
11115;Montreuil - Gonnet;24;48.85050056492107,2.389085628786445
32602;Mairie des Lilas;47;48.8792834,2.4160182
43402;Place de Verdun;40;48.8202823,2.473775
19115;Porte de la Villette;27;48.89835196548483,2.386150136590004
32010;Place aux Étoiles;40;48.91835629408464,2.3523425683379173
21403;Gare de Clamart;14;48.81383535598703,2.272278964519501
12032;Porte Dorée;36;48.8354337,2.4077132
16004;Université Paris Dauphine;0;48.870707839985386,2.2748656198382378
6030;Assas - Vaugirard;35;48.848274111397586,2.3292413726449013
47005;Ecole Vétérinaire;36;48.81488859822486,2.4224362157778994
19127;Aubervilliers - Curial;23;48.89088305227546,2.3688579350709915
14112;Méchain - Faubourg Saint-Jacques;16;48.83586772099485,2.33798034198275
32015;Gare RER de Saint-Denis;40;48.93554324248177,2.3471488058567047
1120;Lavandieres Sainte Opportune - Rivoli;27;48.85927970247607,2.3466217517852783
8001;Petit Palais;43;48.8667692,2.3157655
12161;Diderot - Reuilly;44;48.84720845606067,2.3861273378133774
15107;Palais des Sports;22;48.83346851742578,2.2858720645308495
7016;Surcouf - Université;58;48.861273016278126,2.309453550914185
14006;Saint-Jacques - Tombe Issoire;23;48.833206330538864,2.3369108140468597
9015;Lamartine - Faubourg Montmartre;32;48.87661398289084,2.339765690267086
12033;François Truffaut - Saint Emilion;66;48.83372354344807,2.386601903271428
21009;Le Corbusier - Jean Jaurès;46;48.83780830557548,2.2408381104469304
22403;Pierre Brossolette - Adolphe Pinard;24;48.82177227954821,2.313155829906464
13117;Stade Georges Carpentier;40;48.82048243838136,2.366832196712494
17029;Pierre Demours - Laugier;37;48.8813072,2.294846
22008;Charles de Gaulle - Graviers;28;48.88315175918637,2.2648814320564274
18027;Damrémont - Ordener;30;48.893400392981874,2.336266523912805
4001;Arcole - Notre-Dame;31;48.85388354132773,2.3493797332048416
4002;Marché aux fleurs;23;48.85525811539143,2.3473754525184636
42209;Place de l'Europe - Quai de Bercy;17;48.82529858840266,2.3945679143071175
43010;La Jarry - Place Diderot;25;48.849726940367326,2.452013790607453
6027;Blaise-Desgoffe - Vaugirard;32;48.84612887774711,2.324267216026783
5115;Buffon - Jardin des Plantes;30;48.842668466104875,2.3618587106466293
33014;Parc Eli Lotar;20;48.91844993053703,2.3727085813879967
16105;Crevaux - Bugeaud;31;48.870809428669546,2.281149007691853
48004;Maxime Gorki - Louis Aragon;20;48.78909814728443,2.368387877941132
16042;Murat - Porte de Saint-Cloud;38;48.83750862621299,2.2577651962637906
47003;Charentonneau - Maisons Alfort;20;48.809932980484355,2.443288456496946
20029;Frères Flavien - Porte des Lilas;23;48.8780992764359,2.41104629853209
3009;Temple - Haudriettes;19;48.861636880211584,2.356696020645806
3003;Fille du Calvaire - Turenne;29;48.86210505412563,2.3649600148200993
16044;Porte de Saint Cloud - Parc des Princes;32;48.83866275706582,2.2525164484977727
2008;Mairie du 2ème;28;48.8672190355135,2.3404625437747044
2009;Filles Saint-Thomas - Place de la Bourse;58;48.86889989085307,2.3397543845203477
12157;Fabre d'Eglantine - Place de la Nation;68;48.8471116,2.3956204
18112;Arthur Ranc - Hôpital Bichat;26;48.8978712500682,2.333521842956543
19118;Simon Bolivar - Henri Turot;22;48.876887,2.374454
25007;Bons Raisins - Voltaire;24;48.87282451461399,2.1947155570850896
42024;Danielle Casanova - Ledru-Rollin;28;48.815783497876815,2.383259721100331
11111;Léon Frot - Charonne;19;48.854963800335234,2.387217085372007
20110;Gambetta - Tourelles;20;48.87533790226418,2.4059921130537987
20020;Pyrénées - Charles Renouvier;29;48.86095933229224,2.400421852042113
15045;Porte de la Plaine;35;48.82805169605981,2.2924277186393742
6028;Quatre Vents - Carrefour de l'Odéon;37;48.851751374458864,2.338161695134053
16023;Passy - Place du Costa Rica;33;48.8584893,2.2839655
16104;Paul Valery - Victor Hugo;35;48.87137406080164,2.2887128591537476
13037;Ivry - Baudricourt;20;48.824695995415006,2.363106073577468
12105;Bercy - Villot;34;48.841795009027,2.3767850184816
6003;Saint-Sulpice;21;48.85165383178419,2.3308077827095985
33006;André Karman - République;31;48.91039875761846,2.3851355910301213
43002;Lagny - Victor Basch;26;48.84884147189881,2.426325418925233
5005;Gay Lussac - Saint-Jacques;24;48.844730256132095,2.341923944866407
43401;Gare RER - Canadiens;45;48.81995307955795,2.464176752459464
43008;Fontenay - Libération;25;48.84780306364685,2.445141971111298
14138;Porte de Vanves;32;48.82801284944511,2.3056878894567485
8017;Rocher - Laborde;65;48.87590240712654,2.322616316378116
14106;Marc Sangnier - Porte de Vanves;21;48.825218683556734,2.3107116669416428
17105;Place Madeleine Daniélou;42;48.883498,2.282015
22016;Charles de Gaulle - Sablonville;26;48.87991924860035,2.2763770446181297
8025;Miromesnil - La Boétie;35;48.87372241291653,2.315848097205162
15013;Volontaire - Lecourbe;31;48.8435137879902,2.3065522313117985
42301;Gare Arcueil - Cachan;26;48.799824,2.328171
20121;Boyer - Ménilmontant;19;48.86889516267913,2.3919824145634565
11036;Jules Ferry - Faubourg du Temple Paris;58;48.868397,2.3678933
18110;Departement - Pajol;19;48.886674849730184,2.3613611608743668
16121;Jardin d'Acclimatation;33;48.878772242510465,2.270772233605385
5021;Jussieu - Fossés Saint-Bernard;39;48.84718551002347,2.3534858599305153
17042;Porte Maillot - Pereire;52;48.877775,2.284444
16129;Ceinture du Lac Inferieure - Saint-Cloud;42;48.86218070933143,2.2617871686816216
13104;Gare d'Austerlitz - Quai Saint-Bernard;27;48.84369030864,2.3657163977623
21308;Bara - Henri Farman;36;48.833218027457846,2.2677567601203923
23002;Pont de Levallois-bécon;50;48.8984179,2.2791311
15055;Vasco de Gama;54;48.83671783466264,2.283664085650799
12011;Charenton - Place du Col Bourgoin;35;48.84486731955409,2.382578935054453
21019;Edouard Vaillant - Paul-Adolphe Souriau;28;48.83484585882868,2.2479459643363957
6107;Place Alphonse Deville;23;48.85018826266191,2.3275961726903915
41204;République - Danton;20;48.85249172181667,2.462034523487091
15070;Balard - Montagne de la Fage;36;48.83850740333351,2.2782871127128606
16029;Maison de Radio - France;47;48.85132886434057,2.277785539627075
13103;Hôpital Pitié Salpêtrière;50;48.8377016,2.3604946
13122;Parc de Choisy;25;48.828156251574946,2.358513532903332
32603;Calmette;32;48.88104925098552,2.424993216991425
13113;Vistule - Choisy;33;48.82365543660611,2.3615723848342896
1016;Thérèse - Opéra;25;48.86648351450895,2.334433421223788
21108;Mairie de Clichy;51;48.903653634660834,2.3059353232383732
12129;Bois de Vincennes - Porte Jaune;35;48.838751246689455,2.4605489149689674
8011;Clapeyron - Moscou;15;48.88078819514121,2.324815057218075
19036;Hôpital Robert Debré;33;48.88005222200894,2.4008650346327003
15125;Parc Suzanne Lenglen;52;48.833250690537874,2.2765403240919113
21118;Neuilly - Petit;16;48.898965361341254,2.29627937078476
21029;Cours de l'Ile Seguin - Parc Billancourt;29;48.82714055843935,2.234234511852265
15072;Place Fernand Forest;33;48.849269143835926,2.2818631678819656
17023;Porte d'Asnières;36;48.89035817610495,2.3036286234855656
44101;Place Mongolfier;39;48.815160030060376,2.4592879414558415
21402;Place Aimé Césaire;27;48.783194713067815,2.2429127991199493
11033;Bréguet - Sabin;33;48.856931678257446,2.3706749462105408
17009;Paul Bodin - Clichy;34;48.89239614618928,2.317142598330975
16037;Molitor - Michel-Ange;52;48.845182081538034,2.26211277356597
20034;Sorbier - Ménilmontant;24;48.86854239566069,2.3897721245884895
4103;Archives - Rivoli;25;48.857346707443455,2.3539767041802406
4014;Blancs-Manteaux - Archives;29;48.859418007030406,2.355947121977806
18136;Poulet - Barbès;20;48.887148,2.349064
19111;Cesaria Evora - Rosa Parks;40;48.89717672825043,2.3745173960924144
19130;Place Paul Delouvrier;26;48.89197621431365,2.3851288855075836
21505;Édouard Vaillant - Place Jean Jaurès;24;48.86265537999924,2.2089037319128613
1116;Ventadour - Opéra;27;48.866810653323,2.334388448251871
31020;Résistance - Parmentier;35;48.85965138131299,2.436705082654953
35005;Quai de l'Aisne - Général Leclerc;27;48.895713,2.400571
2006;Place des Victoires;24;48.8660354,2.3420333
23042;André Theuriet - Blagis;30;48.77977325745441,2.3130525648593903
44004;Place de l'Eglise - Vitry-sur-Seine;28;48.791922819921815,2.395057752728462
13051;Halle Freyssinet - Parvis Alan Turing;23;48.832846814471,2.3711421713233
19006;Mathis - Flandre;55;48.8906429898976,2.3762554675340652
23041;Général Leclerc - Bièvre;25;48.782414428747316,2.3166695237159733
8052;Balzac - Champs Elysées;30;48.87269963962128,2.3001953959465027
13036;Olympiades;36;48.82676466519947,2.365086078643799
16025;Jean de la Fontaine - Boulainvilliers;68;48.85264791461651,2.2758664190769196
6004;Regard - Rennes;46;48.847385404955965,2.3268555477261543
11016;Philippe-Auguste;48;48.851853488264595,2.393294535577297
5105;Geoffroy-Saint-Hilaire - Saint-Marcel;17;48.83907826424974,2.356877340669728
10151;Gare du Nord - Faubourg Saint-Denis;28;48.879612765503616,2.3568402975797653
34009;Dora Maar - Nadia Guendouz;30;48.90545242130479,2.3220406472682957
35021;Cartier Bresson - Denis Papin;32;48.902616,2.397814
18045;Pierre Ginier - Clichy;16;48.8867667,2.326228
34008;Garibaldi - Gabriel Péri;30;48.90574191139427,2.331604420805889
32012;Carrefour Pleyel;36;48.92034156960326,2.3438543826341625
16107;Benjamin Godard - Victor Hugo;35;48.865983,2.275725
15026;Bir Hakeim;33;48.853844054333514,2.289705348222022
2017;Caire - Dussoubs;40;48.86785342111862,2.349364310503006
48003;Youri Gagarine - Karl Marx;22;48.78448485079149,2.35908430069685
92007;Pesaro - Préfecture;22;48.89577046284005,2.223908342421055
31022;Mairie de Montreuil;52;48.86131452758348,2.440614402294159
20112;Jourdain - Place des Grandes Rigoles;22;48.87403113727167,2.38959476351738
35010;Hoche - Jean Lolive;24;48.89110239200789,2.402843534946442
11026;Chemin Vert - Saint-Maur;45;48.86112461407359,2.381299026310444
42010;Mairie d'Ivry-sur-Seine;53;48.81057120969284,2.3842826485633855
21104;Madame de Sanzillon - Mozart;22;48.90379820774301,2.3187401890754704
15201;Place Amédée Gordini - Lefebvre;38;48.83061737745046,2.2920634208276174
8013;Marignan - Champs-Elysées;35;48.869495661232406,2.306613813900307
15033;Place Violet;30;48.84487893836502,2.2905756533145905
5114;Claude Bernard - Arbalète;17;48.83976676978202,2.347510904073715
21502;Verdun - Place Henri IV;26;48.870797375639214,2.2277003154158592
11114;Ledru-Rollin - Charonne;32;48.85345855607243,2.3772463581947094
8101;Londres - Amsterdam;23;48.878034461503965,2.326483540969424
14139;Pierre Larousse - Raymond Losserand;30;48.83059564231877,2.3119183257222176
18113;Lepic - Armée d'Orient;24;48.88753640381415,2.334307730197907
21706;Jean Bleuzen - Square du 11 Novembre;49;48.8232579,2.2965213
9026;Jean-Baptiste Pigalle - La Bruyere;17;48.87939826447722,2.333709173337285
16027;Mozart - Jasmin;62;48.85286124871689,2.268483570651513
18017;Caulaincourt - Place Constantin Pecqueur;44;48.8896779050281,2.33817871442611
2013;Favart - Italiens;17;48.87144635392104,2.338290105850787
17116;Reims - Porte d'Asnières;26;48.891834448210986,2.300144659954865
11034;Parmentier - Fontaine au Roi;48;48.86787670551736,2.372705978671471
5030;Sorbonne - Ecoles;50;48.849686566191,2.3434996604919
21004;Jean Jaurès - Reine;31;48.84009622558849,2.239872515201569
12120;Lac Daumesnil - Saint-Maurice;50;48.82774555743318,2.4183654785156246
12010;Daumesnil - Picpus;21;48.8374688,2.401765
4107;Beaumarchais - Pas de la Mule;18;48.855580507049055,2.368433367343057
22103;Senard - Charles Blum;24;48.857315824799,2.221091687679291
32021;Place du Front Populaire - George Sand;35;48.90680713698062,2.364541214992642
10110;Louis Blanc - Jemmapes;31;48.879330755297346,2.368448562920093
10037;Quai de Valmy;26;48.88126951579429,2.368186041712761
13039;Ivry - Simone Weil;18;48.823283932030755,2.3659095168113713
21030;Fessart - Château;20;48.84245,2.23989
32301;Mairie de Romainville;17;48.885109,2.435679
20108;Jardin de l'Hospice Debrousse;23;48.861451061938,2.405686005949974
15030;Emeriau - Beaugrenelle;74;48.84791249714942,2.2843059897422795
18038;Rond-Point de la Chapelle;49;48.895126609314104,2.359971106052399
21401;Mairie de Clamart;33;48.800612,2.262151
33016;Fort d'Aubervilliers;22;48.91502382370325,2.4035281687974925
13009;Auguste Blanqui - Corvisart;26;48.8300989,2.3502726
13025;Place de Rungis;32;48.82245594764965,2.347382729482953
1003;Saint-Denis - Rivoli;43;48.85905934084166,2.3476943001151085
44011;Lebrun - Colonel Fabien;27;48.78266870733145,2.381317801773548
8027;Mairie du 8ème;14;48.877932,2.318264
21315;Jules Guesdes - Général de Gaulle;24;48.81930581291959,2.278934195637703
1020;Cambon - Rivoli;40;48.866143390992,2.3251800647136633
7012;Cité Vaneau;26;48.8542210666207,2.319614924490452
16102;Pergolèse - Marbeau;27;48.87356870686902,2.281512522529856
19010;Emile Reynaud - Porte de la Villette;22;48.90098953630053,2.3887022584676743
21215;Verdier - Jean Jaurès;33;48.81614048711214,2.3123561963438988
4012;Tiron - Rivoli;28;48.85569225323279,2.357905805110932
10041;Gare du Nord - La Chapelle;18;48.884178287285735,2.3561057075858116
42026;Barbès - Monique Maunoury;40;48.81552718820216,2.3687169334905405
4018;Saint-Bon - Rivoli;19;48.857999643314926,2.350217280976349
21011;Silly - Louis Blériot;23;48.83219045374266,2.2340199351310734
44008;Youri Gagarine - Commune de Paris;33;48.78242746304141,2.3939734697341923
20142;Mûriers - Père Lachaise;20;48.864130509668044,2.39164982067019
20003;Pyrénées - Cours de Vincennes;21;48.84779677993506,2.406172156333924
8007;Rome - Provence;30;48.874230055580306,2.325570111724113
24007;Jean-Baptiste Charcot - Sainte-Geneviève;21;48.90310883721567,2.278892956674099
12040;Porte de Charenton;67;48.83124010585643,2.3989107459783554
17126;Hélène et François Missoffe - Emile Borel;32;48.89990653843488,2.321543991674844
5001;Harpe - Saint-Germain;45;48.85151881501689,2.343670316040516
21010;Silly - Galliéni;25;48.835583838705936,2.2325500845909123
17041;Guersant - Gouvion-Saint-Cyr;36;48.88287775178599,2.287667370814871
8009;Gare Saint-Lazare - Isly;27;48.874777677621296,2.326515804784655
19015;Thionville - Ourcq;24;48.88917613743794,2.3833653330802917
42014;Place Marcel Cachin;32;48.81411442356866,2.39090770483017
14008;Mouton Duvernet - Général Leclerc;39;48.831632518292565,2.3293121159076686
21209;Molière - République;30;48.81111581390707,2.3145738624448158
21006;Marcelin Berthelot;27;48.8415473058801,2.233161628246308
44003;Gabriel Péri - Danielle Casanova;20;48.790114,2.4025777
22203;Tertres - Fontaine;28;48.787553654715644,2.306235730648041
22402;Jean Jaurès - Salvador Allende;43;48.821475594736775,2.3026576638221745
9010;Rochechouart lamartine;24;48.876719895109,2.344393021853951
1002;Victoria - Place du Chatelet;22;48.85799259152685,2.3469167947769165
21305;Place Jacques Madaule;25;48.8239337873086,2.2606918215751652
17045;Place des Ternes.;46;48.878438631226516,2.297727763652802
33009;Félix Faure - Sadi Carnot;33;48.90812110228388,2.378623187541962
41207;Place du Général de Gaulle;28;48.8525288,2.4877332
6018;Michelet - Assas;18;48.84274150283194,2.335021197795868
19037;Belleville - Porte des Lilas;32;48.87660391892763,2.404769691129476
17124;Porte de Saint-Ouen - Henri Huchard;26;48.898708366365064,2.3295360803604126
20027;Porte de Ménilmontant;15;48.8691543609174,2.40932246879487
15108;Lourmel - Marie Skobtsov;22;48.844974,2.287283
26001;Gare d'Asnières sur Seine;24;48.90636459217474,2.2835066914558415
35017;Toffier Decaux - Cartier Bresson;7;48.90165072551549,2.4017545580863957
23007;Président Wilson - Jean Jaures;27;48.89034054052266,2.2920683026313786
9118;Faubourg Poissonniere - Delta;36;48.882555807626765,2.3497482016682625
41206;Place des Larris;34;48.8568363,2.4780236
13019;Fernand Braudel - Vincent Auriol;36;48.83637852318147,2.3723404482007027
13022;Butte aux Cailles - Esperance;36;48.82758774190948,2.3492151126265526
16031;Vignes - Boulainvilliers;21;48.856399483950504,2.275240458548069
42011;Quai Marcel Boyer - Victor Hugo;29;48.82255636666729,2.392039597034455
15009;Suffren - Pérignon;46;48.84717561492764,2.307052147596786
35015;Averroès - Aimé Césaire;19;48.91405323432864,2.412636950612068
15019;Paul Barruel - Vaugirard;39;48.84014918546239,2.3044332861900334
15131;Charles Lecocq - Lecourbe;30;48.84044,2.294867
41210;Hôtel de ville de Fontenay-sous-Bois;20;48.84949749106274,2.4750164151191716
11109;Pierre Levée - Fontaine Timbaud;23;48.86632723374305,2.3711163550615306
21307;Victor Cresson - Telles de la Poterie;31;48.82269884297945,2.2686498274963633
11032;Jean-Pierre Timbaud - Vaucouleurs;47;48.867937,2.377885
13126;Place Nationale - Château-des-Rentiers;18;48.829566,2.365053
51002;Placette Grégoire Collas;25;48.94342014002797,2.2487476095557213
51001;Gare d'Argenteuil;40;48.947022436806705,2.256898172199726
41401;Marne - Charles de Gaulle;27;48.815071719544434,2.4121668934822087
20001;Place de la Nation - Charonne;36;48.848364667776785,2.399762385981272
21026;Sèvres - Général Leclerc;30;48.83012155905476,2.231426239013672
7021;Bosquet - Saint-Dominique;28;48.85865170952645,2.303716580234576
31709;Place de la Fraternité;22;48.85716405838368,2.422847449779511
2002;Etienne Marcel - Montorgueil;28;48.86450567259199,2.3461959511041637
22502;Kléber - National;20;48.906333898712234,2.2393910586833954
12163;Hippodrome Paris-Vincennes;42;48.82048387758518,2.446271181106568
31104;Mairie de Rosny-sous-Bois;30;48.87125651901151,2.4865807592868805
22506;Gare des Vallées;20;48.913179,2.257726
14134;Château - Place de Catalogne;33;48.836805542262134,2.3185293003916745
42028;Verdun - Carnot;28;48.808439376064946,2.373795211315155
1015;Place André Malraux;19;48.86392515872666,2.3356226831674576
4005;Quai des Célestins - Henri IV;14;48.8512971,2.3624535
42210;Victor Hugo - Paul Eluard;32;48.819602554906844,2.4114319673050937
24101;Place Charles de Gaulle;24;48.82654572003984,2.189258873608822
43007;Hôtel de Ville de Vincennes;27;48.84827609706963,2.4398955702781677
12022;Sahel - Général Michel Bizot;33;48.840872964793355,2.4044444784522057
15027;Duhamel - André Gide;20;48.8365662244334,2.312707121097412
13008;Place d'Italie - Soeur Rosalie;52;48.83190852039389,2.3546943448098023
21112;Claude Debussy - Marc Bloch;56;48.91038818051166,2.3117771744728093
31301;Gare RER;30;48.896241412268,2.4595758300992
18023;Ordener - Poissonniers;35;48.891213890844654,2.351288666219873
18026;Ruisseau - Ordener;35;48.89299462568024,2.340144887566567
8002;Gare Saint-Lazare - Cour du Havre;45;48.87567440085132,2.3265598341822624
9020;Toudouze - Clauzel;21;48.87929591733507,2.3373600840568547
7001;Invalides - Duroc;29;48.8477924732952,2.3161920905113225
92002;Théâtre des Amandiers - Palais des sports;24;48.89264852683893,2.2136941552162175
9002;Abbeville - Faubourg Poissonnière;14;48.879223,2.349147
19003;Quai de la Seine;24;48.884492238407525,2.3703941702842717
31024_relais;Romainville - Vaillant-couturier;0;48.868054,2.4470495
11023;Saint-Maur - Roquette;46;48.858688774062955,2.383553994571467
31009;Place Du Général De Gaulle;26;48.8687591,2.4329931
17030;Pereire - Rennequin;23;48.88364782887555,2.2952447086572647
12128;Pyramide - Ecole du Breuil;34;48.82237977153955,2.4586871266365056
2111;Chabanais - Petits Champs;30;48.86703740186721,2.336716018617153
31003;Paris - Emile Zola;30;48.854898095789295,2.4186685681343083
13050;Quai Panhard et Levassor;57;48.82837482809675,2.384273745805574
43005;Gare RER de Vincennes;51;48.847563015126106,2.433383166790009
32003;Wilson - Métallurgie;28;48.909423010092326,2.3584435880184174
7005;Raspail - Bac;52;48.855628721100935,2.3256602883338933
16034;Porte d'Auteuil;33;48.8479394142243,2.2608396783471107
12030;Charenton - Wattignies;33;48.83667579640627,2.391795855555629
35009;Jean Lolive - Parc Stalingrad;22;48.89206174403158,2.4091735482215886
13014;Gare d'Austerlitz;14;48.842524,2.364044
42023;Place Léon Gambetta;26;48.81461250235386,2.4029293656349187
15029;Emeriau - Place de Brazzaville;51;48.850785261674964,2.2871585190296173
23011;Bineau - Louise Michel;25;48.88666162206972,2.2843274474143986
18032;Porte de Clignancourt.;56;48.897488,2.343996
16123;Mahatma Gandhi;26;48.876356,2.264205
6016;Danton - Serpente;22;48.85229736258167,2.3414132371544834
15049;Porte de Versailles;0;48.83215381734912,2.2871491312980647
15035;Place Etienne Pernet;43;48.84243457133779,2.2921819612383847
11006;Ledru-Rollin - Place du Père Chaillet;37;48.856433706943704,2.379020587761426
11043;Place Pasdeloup;21;48.86265421563133,2.3670325062844237
14030;Pernety - Raymond Losserand;32;48.83425462795304,2.317609339386963
10036;Aqueduc - Villette;28;48.883886063895396,2.36719880331497
19041;Belleville - Pyrénées;42;48.8741908,2.3860039
18137;Poissonniers - Nord;28;48.892511213520656,2.3522228747606277
7026;Place de Finlande;25;48.86240833596654,2.311362437903881
11046;Place de la République - Voltaire;19;48.86683096894219,2.3654810339212418
23105;Sèvres Rive Gauche;33;48.82144321827765,2.215078530688475
12153;Terroirs de France - Lheureux;55;48.83212027074841,2.388618104159832
11044;Square du Bataclan;20;48.8633762,2.3711327
9016;Choron - Martyrs;17;48.877851443502536,2.3396701365709305
22010;Charles de Gaulle - Louis-Philippe;28;48.88162131114395,2.2712830090406526
16024;Ranelagh - Maison de la Radio;22;48.85293603169479,2.280449643731117
17015;Place de Lévis;48;48.883546851533254,2.3131933808326726
16001;Portugais - Kléber;26;48.8712148,2.2937349
6012;Saint-Germain - Ciseaux;18;48.85330527759475,2.334465461882703
21501;Pont de Suresnes;52;48.8674150923217,2.225894667961703
9034;Godot de Mauroy - Madeleine;22;48.869789,2.326347
21707;Square Etienne Jarousse;25;48.82485182597129,2.2925933450460434
3102;Bourg l'Abbé - Saint-Martin;42;48.86393331949257,2.352406270802021
17024;Villiers - Batignolles;23;48.88125253846116,2.31653843075037
8117;Place de la Madeleine - Royale;26;48.86922805264812,2.3244211077690125
26004;Gare RER les Grésillons;22;48.919898633572764,2.31458459136273
3008;Perle - Vieille du Temple;36;48.8601346,2.3611206
44014;Camille Risch - Paul Armangot;25;48.774703,2.373685
14103;Maine - Liancourt;27;48.835064363954,2.323731449973991
10006;Petites Ecuries - Faubourg Saint-Denis;28;48.87287120589831,2.3542150855064397
26005;Hôtel de Ville d'Asnières sur Seine;30;48.90999330025577,2.288238108158112
9039;Chaussée d'Antin - Haussmann;28;48.87243,2.33359
1018;Alger - Rivoli;21;48.86477355349535,2.329449393612793
16139;Suresnes - Muette à Neuilly;30;48.86857040434825,2.266000919044018
32020;Jules Guesdes - Carnot;16;48.93828169931872,2.3508992046117783
23303;Gare de Robinson;30;48.7799259211605,2.281828634440899
23202;Henri Barbusse - Gabriel Péri;27;48.80177379583565,2.2874166362216375
8104;Chateaubriand - Friedland;0;48.8740144756374,2.29991625786582
15012;Cambronne - Mademoiselle;67;48.843277330035214,2.30230766886348
14027;Gergovie - Alésia;36;48.83088717455243,2.318882101207347
12102;Bercy - Traversiére;30;48.846192642574,2.3703800886869
42205;Place Aristide Briand;35;48.82189236575831,2.413003742694855
12122;Bois de Vincennes - Polygone;51;48.83544491617421,2.431421081436563
5031;Lacépède - Linné;54;48.8437035476636,2.354651279747486
13053;Chevaleret - Tolbiac;21;48.82941,2.375934
21954;Val-Fleury;23;48.807671407991,2.2407217696309
17026;Jouffroy d'Abbans - Wagram;40;48.881973298351625,2.301132157444954
5016;Thouin - Cardinal Lemoine;17;48.84504716661511,2.3494647851273465
15068;Général Martial Valin - Pont du Garigliano;16;48.83823094269141,2.270506024360657
