Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
22703;Place Jean Mermoz;30;48.9220937,2.2718348
21508;Georges Pompidou - Verdun;26;48.875481,2.232443
19045;Macdonald - Césaria Evora;67;48.89883,2.37933
23203;Division Leclerc - Kléber;25;48.798666226364,2.2833752789972
12106;Gare de Lyon - Roland Barthes;68;48.84395729494058,2.3790882155299187
12109;Mairie du 12ème;30;48.84085531176338,2.3875549435615544
14111;Cassini - Denfert-Rochereau;25;48.83752583906732,2.336035408079624
22207;Rond-point du Dr Albert Schweitzer;22;48.78980918988166,2.3143940046429634
9008;Tour d'Auvergne - Rodier;17;48.879161,2.343698
10162;Alexandre Parodi - Quai de Valmy;24;48.87935941942529,2.366596162319184
41303;Gare de Nogent-le-Perreux;32;48.83842553348809,2.493693307042122
15112;Vigée-Lebrun - Anselme Payen;24;48.838683941628375,2.3110422492027287
15042;Henry Farman;16;48.83372430280548,2.2713854536414146
8045;Place de la Reine Astrid;58;48.86492098253841,2.302549182385926
21312;Lucie Aubrac - Fort;30;48.818144834008976,2.271184623241425
15054;Lecourbe - Jean Maridor;19;48.83796366147599,2.2877392172813416
16008;Galilée - Kléber;33;48.86741186571367,2.290781380114821
8057;Hoche - Tilsitt;33;48.87483645783703,2.297132313251496
16108;Sablons - Georges Mandel;38;48.863875,2.28189
19032;Villette - Belleville;48;48.872687731400255,2.3764613270759587
16136;Théophile Gautier - François Millet;30;48.85034821320644,2.273029983043671
24001;Arche - Léonard de Vinci;28;48.89790972494496,2.2383723043644914
42302;Aristide Briand - Gare de Bagneux;22;48.79387269664978,2.321148812770844
19008;Flandre - Alphonse Karr;26;48.89465,2.381868
32016;Place de la Porte de Paris;40;48.93009363207303,2.3564037680625916
41402;Victor Hugo - Ecoles;25;48.80476007936134,2.4180373930262093
17011;Fragonard - Porte de Clichy;56;48.89415563341899,2.314389310777188
10113;Parmentier - Hôpital Saint-Louis;43;48.87137987425661,2.369896383666685
15122;Place Charles Vallin;26;48.83552381204077,2.302598655223847
20120;Evariste Galois;30;48.87308753734472,2.4133380129933357
21511;Marcel Monge - Marcel Dassault;46;48.86096384533371,2.2246733296048142
20040;Parc de Belleville - Julien Lacroix;26;48.8703459,2.3842214
13026;Place Jean Delay;35;48.823316,2.354336
14130;Jonquoy - Didot;30;48.82890454823947,2.31648076325655
31019;Vincennes - Douy-Delcupe;38;48.85493692155721,2.436049282550812
44012;Génie - Mozart;19;48.794902381218904,2.3734183609485626
9117;Bellefond - Maubeuge;31;48.878255397644715,2.345264218747616
12107;Diderot - Pierre Bourdan;21;48.84764862079675,2.3902582749724393
7008;Villersexel - Saint-Germain;16;48.858297001217615,2.323793470859528
18202;Diane Arbus;38;48.898800717199,2.3524022474884987
15059;Parc André Citroën;65;48.840639944296655,2.2780618071556096
16016;Paul Doumer - La Tour;34;48.860116109626574,2.280840481911055
12108;Bercy.;66;48.839966914994,2.3788625746965
33005;République - Henri Barbusse;32;48.90661553626751,2.389432489871979
8049;Georges V - François 1er;22;48.87034,2.30082
10164;Claude Vellefaux - Sambre et Meuse;34;48.875022,2.370478
22012;Madeleine Michelis - Roule;25;48.88260431301364,2.2773634269833565
31017;Jean Moulin - Paul Doumer;20;48.8622179854695,2.45533436536789
92005;Gare de Nanterre Ville;43;48.8950295,2.1957932
14101;Gare Montparnasse - Edgar Quinet;33;48.841487851078895,2.3233232282800524
5014;Jean Calvin - Tournefort;28;48.84158856925782,2.348489575088024
22206;Louis Pasteur - Albert Petit;31;48.796261,2.317289
13516;Glacière - Soeur Catherine Marie;40;48.829522989420596,2.343570403754711
7109;Place Joffre - Frédéric le Play;38;48.85375448693786,2.3044242337346077
10019;Paradis - Hauteville;31;48.874999954666755,2.3522757401923404
5007;Ecoles - Carmes;36;48.848904447989405,2.3473486304283147
13044_Relais;Place Jeanne d'Arc;0;48.82933074817225,2.3687536641955376
14132;Bézout - Général Leclerc;30;48.82884804502439,2.3285973072052
4009;Village Saint-Paul;28;48.852639866624806,2.3607301712036137
6007;Bréa - Raspail;24;48.842738478257814,2.329794221763396
12123;Château de Vincennes;52;48.84423193255657,2.439209537709179
13024;Bobillot - Tolbiac;33;48.8255961335041,2.350204177200794
15069;Félix Faure - Convention;44;48.841249336041045,2.288386600849503
15024;Suffren - La Motte-Piquet;23;48.85088123091874,2.301219999790192
41602;Place Charles Digeon;32;48.84354203133597,2.418427169322968
14004;Port Royal - Hôpital Cochin;23;48.838373233813286,2.340717874467373
14035;Maine - Jean Zay;50;48.837925263897674,2.3225428909063344
20005;Reynaldo Hahn - Lagny;19;48.849266043601794,2.412330328844772
6005;Montparnasse -  Square Ozanam;49;48.84331056782166,2.326524294912815
21007;Rond-Point Rhin et Danube;53;48.840452820991764,2.2280225157737736
13013;Saint-Marcel - Hôpital;21;48.83950442458303,2.360989417022932
8044;Alfred de Vigny - Place du Général Brocard;33;48.87836138361425,2.305254448220567
22302;Gare RER - Général de Gaulle;0;48.929792,2.282294
17048;De Toqueville - Terrasse;30;48.882428,2.314002
14013;Liard - Amiral Mouchez;14;48.8214169,2.342167
16110;Octave Feuillet - Albéric Magnard;21;48.86106902949534,2.2730283066630363
26003;Argenteuil - Voltaire;16;48.91864865955558,2.2814112156629562
12151;Gare de Lyon - Place Louis Armand;60;48.8455150897939,2.3726498446286
19026;Place de Rhin et Danube;17;48.88192765861766,2.392586767673493
8034;Berri - Haussmann;35;48.874746047357135,2.3082953318953514
13002;Arago - Glacière;27;48.83486054775774,2.3445770524322067
11035;Parmentier - Abel Rabaud;52;48.86921273836114,2.371688821240712
42504;Gare RER de Gentilly;30;48.814280450380224,2.3410347104072575
14036;Boulard - Daguerre;45;48.83446472680611,2.3293386027216907
14021;Place de la Porte de Châtillon;59;48.8242469,2.3186306
41606;Pasteur - Gambetta;19;48.84572797384512,2.4236011505126953
33018;Edouard Poisson - Victor Hugo;30;48.91118557052621,2.379864752692811
17037;Bayen - Pereire;22;48.881804409079656,2.2921088710427284
25005;18 juin 1940 - Buzenval;25;48.868807,2.185428
16018;Flandrin - Henri Martin;18;48.8643275,2.2724174
33019;Madeleine Vionnet;34;48.90251907406377,2.37408958375454
31705;Champeaux - Gallieni;50;48.864459134684644,2.4161778017878532
41604;Lagny - Joffre;31;48.84930687084088,2.417949736118317
7006;Quai Voltaire;32;48.85894298617901,2.331418204714572
2010;Uzès - Montmartre;29;48.870790980240706,2.3431010171771054
42503;Vladimir Ilitch Lénine - Andrée Chedid;31;48.813199499999044,2.3321458697319035
32014;Place du Cornillon - Stade de France;35;48.92540695835961,2.3644426837563515
32017;Basilique;22;48.93626891059109,2.3588666820200914
20023;Pelleport - Belgrand;15;48.86500081847653,2.403980836377493
35003;Gabrielle Josserand - Edouard Vaillant;25;48.90271566255436,2.3933270573616032
15031;Théâtre - Lourmel;53;48.8482070397636,2.2898658737540245
21014;Hameau Fleuri - Marché;22;48.831448892608314,2.2412404417991643
16122;Route de la Muette - Porte de Neuilly;50;48.8798926,2.2587671
20137;Borrégo - Gambetta;25;48.87330497045532,2.4014145880937576
19023;Manin - Simon Bolivar;26;48.87649965412676,2.379407362599104
32018;Franciade - Gabriel Péri;26;48.93261499331498,2.355954498052597
18014;Léon - Doudeauville;13;48.88832421845225,2.353573372638597
23005;Gare de Clichy-Levallois;26;48.89679827481989,2.2984680533409123
14128;Gergovie - Vercingétorix;29;48.83453413883994,2.313154547426182
12125;Pyramide - Parc Floral;50;48.837442,2.440452
